ligand_id	barrier_energy	barrier_line
PV-006973376133	29.942600000002606	"PV-006973376133	1	29.942600000002606"
PV-006973376134	31.114799999997768	"PV-006973376134	1	31.114799999997768"
PV-006973376135	27.97890000001415	"PV-006973376135	1	27.97890000001415"
PV-006973968477	31.037400000001686	"PV-006973968477	1	31.037400000001686"
PV-006973968478	30.89080000000298	"PV-006973968478	1	30.89080000000298"
PV-006973968479	31.008099999991806	"PV-006973968479	1	31.008099999991806"
PV-006973987975	26.378900000005697	"PV-006973987975	1	26.378900000005697"
PV-006974220752	26.26169999999979	"PV-006974220752	1	26.26169999999979"
PV-006974550520	29.4783000000054	"PV-006974550520	1	29.4783000000054"
PV-006974630334	26.144300000008002	"PV-006974630334	1	26.144300000008002"
PV-006974841647	25.703800000003163	"PV-006974841647	1	25.703800000003163"
PV-006974968559	28.322000000000923	"PV-006974968559	1	28.322000000000923"
PV-006975031792	31.723599999997404	"PV-006975031792	1	31.723599999997404"
PV-006975073596	28.118799999992547	"PV-006975073596	1	28.118799999992547"
PV-006975213969	29.192999999997383	"PV-006975213969	1	29.192999999997383"
PV-006975833730	27.984800000000085	"PV-006975833730	1	27.984800000000085"
PV-006976046684	29.689499999998496	"PV-006976046684	1	29.689499999998496"
PV-006976476667	31.247200000000024	"PV-006976476667	1	31.247200000000024"
PV-006977301191	26.46239999999999	"PV-006977301191	1	26.46239999999999"
PV-006977557701	27.88099999999552	"PV-006977557701	1	27.88099999999552"
PV-006977622614	29.623199999998892	"PV-006977622614	1	29.623199999998892"
PV-006977712445	31.8013999999946	"PV-006977712445	1	31.8013999999946"
PV-006978065087	26.755100000002596	"PV-006978065087	1	26.755100000002596"
PV-006978065088	29.500300000002618	"PV-006978065088	1	29.500300000002618"
PV-006978065089	29.98799999999553	"PV-006978065089	1	29.98799999999553"
PV-006978491454	31.755500000000758	"PV-006978491454	1	31.755500000000758"
PV-006979053646	31.9597000000054	"PV-006979053646	1	31.9597000000054"
PV-006979075160	26.53170000000577	"PV-006979075160	1	26.53170000000577"
PV-006980097599	26.18470000000204	"PV-006980097599	1	26.18470000000204"
PV-006980492795	28.769999999998507	"PV-006980492795	1	28.769999999998507"
PV-006980505910	28.49540000000259	"PV-006980505910	1	28.49540000000259"
PV-006981032762	29.062399999999073	"PV-006981032762	1	29.062399999999073"
PV-006981273760	30.535100000004086	"PV-006981273760	1	30.535100000004086"
PV-006981466208	27.66809999999982	"PV-006981466208	1	27.66809999999982"
PV-006981489415	27.65379999999329	"PV-006981489415	1	27.65379999999329"
